time,velocity_x_theoretical,velocity_x_actual,velocity_y,ay,speedx,speedy,steeringangle,z_orientation,z,x,y,w
0.001,-0.035189,0,0,0,0,0,0,0.400172,0.400172,0,0,-0.91644
0.002,-0.036356,0,0,-0.06543,0,0,0,0.400172,0.400172,0,0,-0.91644
0.003,-0.037522,0,0,-0.069824,0,0,0,0.400172,0.400172,0,0,-0.91644
0.004,-0.038494,0,0,-0.074707,0,0,0,0.400172,0.400172,0,0,-0.91644
0.005,-0.04005,0,0,-0.073242,0,0,0,0.400172,0.400172,0,0,-0.91644
0.006,-0.040244,0,0,-0.0625,0,0,0,0.400172,0.400172,0,0,-0.91644
0.007,-0.040827,0,0,-0.066895,0,0,0,0.400172,0.400172,0,0,-0.91644
0.008,-0.040244,0,0,-0.067871,0,0,0,0.400172,0.400172,0,0,-0.91644
0.009,-0.039661,0,0,-0.070312,0,0,0,0.400172,0.400172,0,0,-0.91644
0.01,-0.038689,0,0,-0.068848,0,0,0,0.400172,0.400172,0,0,-0.91644
0.011,-0.037328,0,0,-0.063477,0,0,0,0.400172,0.400172,0,0,-0.91644
0.012,-0.036161,0,0,-0.069336,0,0,0,0.400172,0.400172,0,0,-0.91644
0.013,-0.035773,0,0,-0.067383,0,0,0,0.400172,0.400172,0,0,-0.91644
0.014,-0.034606,0,0,-0.069824,0,0,0,0.400172,0.400172,0,0,-0.91644
0.015,-0.034801,0,0,-0.066406,0,0,0,0.400172,0.400172,0,0,-0.91644
0.016,-0.035189,0,0,-0.067383,0,0,0,0.400172,0.400172,0,0,-0.91644
0.017,-0.035578,0,0,-0.063477,0,0,0,0.400172,0.400172,0,0,-0.91644
0.018,-0.036745,0,0,-0.067871,0,0,0,0.400172,0.400172,0,0,-0.91644
0.019,-0.037911,0,0,-0.071777,0,0,0,0.400172,0.400172,0,0,-0.91644
0.02,-0.039272,0,0,-0.069824,0,0,0,0.400172,0.400172,0,0,-0.91644
0.021,-0.04005,0,0,-0.066895,0,0,0,0.400172,0.400172,0,0,-0.91644
0.022,-0.040633,0,0,-0.067383,0,0,0,0.400172,0.400172,0,0,-0.91644
0.023,-0.040633,0,0,-0.069336,0,0,0,0.400172,0.400172,0,0,-0.91644
0.024,-0.039855,0,0,-0.068848,0,0,0,0.400172,0.400172,0,0,-0.91644
0.025,-0.038883,0,0,-0.069824,0,0,0,0.400172,0.400172,0,0,-0.91644
0.026,-0.038106,0,0,-0.066406,0,0,0,0.400172,0.400172,0,0,-0.91644
0.027,-0.03655,0,0,-0.063965,0,0,0,0.400172,0.400172,0,0,-0.91644
0.028,-0.035967,0,0,-0.068848,0,0,0,0.400172,0.400172,0,0,-0.91644
0.029,-0.035384,0,0,-0.067383,0,0,0,0.400172,0.400172,0,0,-0.91644
0.03,-0.034606,0,0,-0.068359,0,0,0,0.400172,0.400172,0,0,-0.91644
0.031,-0.035189,0,0,-0.066406,0,0,0,0.400172,0.400172,0,0,-0.91644
0.032,-0.035384,0,0,-0.066895,0,0,0,0.400172,0.400172,0,0,-0.91644
0.033,-0.03655,0,0,-0.068848,0,0,0,0.400172,0.400172,0,0,-0.91644
0.034,-0.037717,0,0,-0.070801,0,0,0,0.400172,0.400172,0,0,-0.91644
0.035,-0.038689,0,0,-0.070312,0,0,0,0.400172,0.400172,0,0,-0.91644
0.036,-0.040244,0,0,-0.065918,0,0,0,0.400172,0.400172,0,0,-0.91644
0.037,-0.040439,0,0,-0.069336,0,0,0,0.400172,0.400172,0,0,-0.91644
0.038,-0.040827,0,0,-0.071289,0,0,0,0.400172,0.400172,0,0,-0.91644
0.039,-0.04005,0,0,-0.070801,0,0,0,0.400172,0.400172,0,0,-0.91644
0.04,-0.039661,0,0,-0.069824,0,0,0,0.400172,0.400172,0,0,-0.91644
0.041,-0.038494,0,0,-0.070312,0,0,0,0.400172,0.400172,0,0,-0.91644
0.042,-0.037134,0,0,-0.064453,0,0,0,0.400172,0.400172,0,0,-0.91644
0.043,-0.036161,0,0,-0.066406,0,0,0,0.400172,0.400172,0,0,-0.91644
0.044,-0.035773,0,0,-0.068359,0,0,0,0.400172,0.400172,0,0,-0.91644
0.045,-0.034412,0,0,-0.067871,0,0,0,0.400172,0.400172,0,0,-0.91644
0.046,-0.034801,0,0,-0.068848,0,0,0,0.400172,0.400172,0,0,-0.91644
0.047,-0.035189,0,0,-0.064453,0,0,0,0.400172,0.400172,0,0,-0.91644
