MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
0.190000, 0.000000, 0.000000, -181.000000,0.454800, 0.001600, 11.800000, -0.035189
-0.250000, 0.000000, 0.000000, -187.000000,0.454800, 0.001600, 11.800000, -0.036356
-0.250000, 0.000000, 0.000000, -193.000000,0.454800, 0.001600, 11.700000, -0.037522
-0.270000, 0.000000, 0.000000, -198.000000,0.454800, 0.001600, 11.700000, -0.038494
-0.240000, 0.000000, 0.000000, -206.000000,0.454800, 0.001600, 11.800000, -0.040050
-0.260000, 0.000000, 0.000000, -207.000000,0.454800, 0.001600, 11.700000, -0.040244
-0.270000, 0.000000, 0.000000, -210.000000,0.454800, 0.001600, 11.700000, -0.040827
-0.120000, 0.000000, 0.000000, -207.000000,0.454800, 0.001600, 11.800000, -0.040244
0.260000, 0.000000, 0.000000, -204.000000,0.454800, 0.001600, 11.800000, -0.039661
0.270000, 0.000000, 0.000000, -199.000000,0.454800, 0.001600, 11.700000, -0.038689
0.260000, 0.000000, 0.000000, -192.000000,0.454800, 0.001600, 11.700000, -0.037328
0.260000, 0.000000, 0.000000, -186.000000,0.454800, 0.001600, 11.700000, -0.036161
0.260000, 0.000000, 0.000000, -184.000000,0.454800, 0.001600, 11.700000, -0.035773
0.260000, 0.000000, 0.000000, -178.000000,0.454800, 0.001600, 11.700000, -0.034606
0.260000, 0.000000, 0.000000, -179.000000,0.454800, 0.001600, 11.800000, -0.034801
0.260000, 0.000000, 0.000000, -181.000000,0.454800, 0.001600, 11.700000, -0.035189
-0.070000, 0.000000, 0.000000, -183.000000,0.454800, 0.001600, 11.800000, -0.035578
-0.250000, 0.000000, 0.000000, -189.000000,0.454800, 0.001600, 11.700000, -0.036745
-0.240000, 0.000000, 0.000000, -195.000000,0.454800, 0.001600, 11.800000, -0.037911
-0.250000, 0.000000, 0.000000, -202.000000,0.454800, 0.001600, 11.800000, -0.039272
-0.250000, 0.000000, 0.000000, -206.000000,0.454800, 0.001600, 11.700000, -0.040050
-0.280000, 0.000000, 0.000000, -209.000000,0.454800, 0.001600, 11.800000, -0.040633
-0.270000, 0.000000, 0.000000, -209.000000,0.454800, 0.001600, 11.800000, -0.040633
0.160000, 0.000000, 0.000000, -205.000000,0.454800, 0.001600, 11.700000, -0.039855
0.260000, 0.000000, 0.000000, -200.000000,0.454800, 0.001600, 11.800000, -0.038883
0.260000, 0.000000, 0.000000, -196.000000,0.454800, 0.001600, 11.800000, -0.038106
0.260000, 0.000000, 0.000000, -188.000000,0.454800, 0.001600, 11.700000, -0.036550
0.250000, 0.000000, 0.000000, -185.000000,0.454800, 0.001600, 11.700000, -0.035967
0.250000, 0.000000, 0.000000, -182.000000,0.454800, 0.001600, 11.700000, -0.035384
0.240000, 0.000000, 0.000000, -178.000000,0.454800, 0.001600, 11.800000, -0.034606
0.240000, 0.000000, 0.000000, -181.000000,0.454800, 0.001600, 11.800000, -0.035189
0.150000, 0.000000, 0.000000, -182.000000,0.454800, 0.001600, 11.700000, -0.035384
-0.270000, 0.000000, 0.000000, -188.000000,0.454800, 0.001600, 11.800000, -0.036550
-0.270000, 0.000000, 0.000000, -194.000000,0.454800, 0.001600, 11.700000, -0.037717
-0.250000, 0.000000, 0.000000, -199.000000,0.454800, 0.001600, 11.700000, -0.038689
-0.270000, 0.000000, 0.000000, -207.000000,0.454800, 0.001600, 11.800000, -0.040244
-0.260000, 0.000000, 0.000000, -208.000000,0.454800, 0.001600, 11.700000, -0.040439
-0.250000, 0.000000, 0.000000, -210.000000,0.454800, 0.001600, 11.800000, -0.040827
-0.050000, 0.000000, 0.000000, -206.000000,0.454800, 0.001600, 11.600000, -0.040050
0.270000, 0.000000, 0.000000, -204.000000,0.454800, 0.001600, 11.700000, -0.039661
0.260000, 0.000000, 0.000000, -198.000000,0.454800, 0.001600, 11.800000, -0.038494
0.250000, 0.000000, 0.000000, -191.000000,0.454800, 0.001600, 11.800000, -0.037134
0.280000, 0.000000, 0.000000, -186.000000,0.454800, 0.001600, 11.700000, -0.036161
0.250000, 0.000000, 0.000000, -184.000000,0.454800, 0.001600, 11.800000, -0.035773
0.260000, 0.000000, 0.000000, -177.000000,0.454800, 0.001600, 11.800000, -0.034412
