roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.637077, -2.442305, -30.581253, 0.043945,-0.064941, 1.029785, 0.427246, 0.366211, 0.183105, 0.024986, 0.028914,-0.262870,-0.964074,-0.063479,-0.042626,0.533744, 0.000000
3.735403, -2.430792, -30.588855, 0.043457,-0.065430, 1.036621, 0.488281, 0.427246, 0.061035, 0.025838, 0.029044,-0.262913,-0.964036,-0.065195,-0.042425,0.533876, 0.000000
3.764532, -2.455110, -30.592981, 0.044922,-0.069824, 1.037598, 0.305176, 0.427246, 0.244141, 0.026026, 0.029316,-0.262932,-0.964018,-0.065703,-0.042850,0.533948, 0.000000
3.817493, -2.448649, -30.599005, 0.046387,-0.074707, 1.039062, 0.000000, 0.122070, 0.366211, 0.026485, 0.029385,-0.262972,-0.963992,-0.066628,-0.042737,0.534053, 0.000000
3.809522, -2.490032, -30.601276, 0.043457,-0.073242, 1.040527, -0.122070, 0.244141, 0.122070, 0.026322, 0.029715,-0.262979,-0.963985,-0.066489,-0.043459,0.534093, 0.000000
3.745451, -2.402174, -30.601710, 0.041992,-0.062500, 1.037598, 0.000000, 0.244141, 0.122070, 0.025986, 0.028829,-0.263028,-0.964007,-0.065370,-0.041926,0.534101, 0.000000
3.761504, -2.550949, -30.604988, 0.049316,-0.066895, 1.037109, 0.732422, 0.610352, 0.183105, 0.025777, 0.030118,-0.263003,-0.963980,-0.065651,-0.044522,0.534158, 0.000000
3.745956, -2.404119, -30.607918, 0.043457,-0.067871, 1.036621, 0.671387, 0.671387, 0.244141, 0.025984, 0.028848,-0.263079,-0.963993,-0.065379,-0.041960,0.534209, 0.000000
3.738148, -2.421420, -30.610835, 0.044922,-0.070312, 1.041992, 0.122070, 0.366211, 0.183105, 0.025877, 0.028977,-0.263100,-0.963986,-0.065243,-0.042262,0.534260, 0.000000
3.673926, -2.412437, -30.611839, 0.044922,-0.068848, 1.037109, 0.000000, 0.183105, 0.183105, 0.025358, 0.028754,-0.263128,-0.963999,-0.064122,-0.042105,0.534277, 0.000000
3.664103, -2.400254, -30.614356, 0.041992,-0.063477, 1.037598, 0.183105, 0.244141, 0.122070, 0.025303, 0.028629,-0.263155,-0.963997,-0.063951,-0.041892,0.534321, 0.000000
3.811439, -2.462441, -30.623782, 0.044922,-0.069336, 1.032227, 0.610352, 0.549316, 0.183105, 0.026396, 0.029493,-0.263177,-0.963935,-0.066522,-0.042978,0.534486, 0.000000
3.703126, -2.399963, -30.621698, 0.043457,-0.067383, 1.037109, 0.488281, 0.488281, 0.244141, 0.025630, 0.028718,-0.263207,-0.963971,-0.064632,-0.041887,0.534449, 0.000000
3.729296, -2.503067, -30.628443, 0.047852,-0.069824, 1.039062, 0.610352, 0.671387, 0.244141, 0.025610, 0.029647,-0.263224,-0.963939,-0.065089,-0.043687,0.534567, 0.000000
3.656289, -2.521813, -30.628139, 0.045898,-0.066406, 1.039062, -0.122070, 0.183105, 0.122070, 0.024953, 0.029637,-0.263234,-0.963954,-0.063814,-0.044014,0.534562, 0.000000
3.725362, -2.405258, -30.634515, 0.042969,-0.067383, 1.032715, 0.488281, 0.183105, 0.183105, 0.025801, 0.028817,-0.263308,-0.963936,-0.065020,-0.041980,0.534673, 0.000000
